Time (Hour),Total Power (kW),Critical Power (kW),Remaining Power (kW)
0,1.1811612,0.944,0.2371612
1,1.1264869,0.944,0.1824869
2,1.0987329,0.944,0.1547329
3,1.0816472,0.944,0.1376472
4,1.0843058,0.944,0.1403058
5,1.1092719,0.944,0.1652719
6,1.147068,0.944,0.203068
7,1.1763769,0.944,0.2323769
8,1.1577988,0.944,0.2137988
9,1.1726978,0.944,0.2286978
10,1.1986721,0.944,0.2546721
11,1.2403488,0.944,0.2963488
12,1.2912889,0.944,0.3472889
13,1.3433162,0.944,0.3993162
14,1.4068658,0.944,0.4628658
15,1.5046746,0.944,0.5606746
16,1.5839262,0.944,0.6399262
17,1.6165079,0.944,0.6725079
18,1.6028195,0.944,0.6588195
19,1.5977126,0.944,0.6537126
20,1.5671857,0.944,0.6231857
21,1.4809077,0.944,0.5369077
22,1.3635568,0.944,0.4195568
23,1.2494603,0.944,0.3054603
24,1.1811612,0.944,0.2371612
25,1.1264869,0.944,0.1824869
26,1.0987329,0.944,0.1547329
27,1.0816472,0.944,0.1376472
28,1.0843058,0.944,0.1403058
29,1.1092719,0.944,0.1652719
30,1.147068,0.944,0.203068
31,1.1763769,0.944,0.2323769
32,1.1577988,0.944,0.2137988
33,1.1726978,0.944,0.2286978
34,1.1986721,0.944,0.2546721
35,1.2403488,0.944,0.2963488
36,1.2912889,0.944,0.3472889
37,1.3433162,0.944,0.3993162
38,1.4068658,0.944,0.4628658
39,1.5046746,0.944,0.5606746
40,1.5839262,0.944,0.6399262
41,1.6165079,0.944,0.6725079
42,1.6028195,0.944,0.6588195
43,1.5977126,0.944,0.6537126
44,1.5671857,0.944,0.6231857
45,1.4809077,0.944,0.5369077
46,1.3635568,0.944,0.4195568
47,1.2494603,0.944,0.3054603
48,1.1811612,0.944,0.2371612
49,1.1264869,0.944,0.1824869
50,1.0987329,0.944,0.1547329
51,1.0816472,0.944,0.1376472
52,1.0843058,0.944,0.1403058
53,1.1092719,0.944,0.1652719
54,1.147068,0.944,0.203068
55,1.1763769,0.944,0.2323769
56,1.1577988,0.944,0.2137988
57,1.1726978,0.944,0.2286978
58,1.1986721,0.944,0.2546721
59,1.2403488,0.944,0.2963488
60,1.2912889,0.944,0.3472889
61,1.3433162,0.944,0.3993162
62,1.4068658,0.944,0.4628658
63,1.5046746,0.944,0.5606746
64,1.5839262,0.944,0.6399262
65,1.6165079,0.944,0.6725079
66,1.6028195,0.944,0.6588195
67,1.5977126,0.944,0.6537126
68,1.5671857,0.944,0.6231857
69,1.4809077,0.944,0.5369077
70,1.3635568,0.944,0.4195568
71,1.2494603,0.944,0.3054603
72,1.1811612,0.944,0.2371612
73,1.1264869,0.944,0.1824869
74,1.0987329,0.944,0.1547329
75,1.0816472,0.944,0.1376472
76,1.0843058,0.944,0.1403058
77,1.1092719,0.944,0.1652719
78,1.147068,0.944,0.203068
79,1.1763769,0.944,0.2323769
80,1.1577988,0.944,0.2137988
81,1.1726978,0.944,0.2286978
82,1.1986721,0.944,0.2546721
83,1.2403488,0.944,0.2963488
84,1.2912889,0.944,0.3472889
85,1.3433162,0.944,0.3993162
86,1.4068658,0.944,0.4628658
87,1.5046746,0.944,0.5606746
88,1.5839262,0.944,0.6399262
89,1.6165079,0.944,0.6725079
90,1.6028195,0.944,0.6588195
91,1.5977126,0.944,0.6537126
92,1.5671857,0.944,0.6231857
93,1.4809077,0.944,0.5369077
94,1.3635568,0.944,0.4195568
95,1.2494603,0.944,0.3054603
96,1.1811612,0.944,0.2371612
97,1.1264869,0.944,0.1824869
98,1.0987329,0.944,0.1547329
99,1.0816472,0.944,0.1376472
100,1.0843058,0.944,0.1403058
101,1.1092719,0.944,0.1652719
102,1.147068,0.944,0.203068
103,1.1763769,0.944,0.2323769
104,1.1577988,0.944,0.2137988
105,1.1726978,0.944,0.2286978
106,1.1986721,0.944,0.2546721
107,1.2403488,0.944,0.2963488
108,1.2912889,0.944,0.3472889
109,1.3433162,0.944,0.3993162
110,1.4068658,0.944,0.4628658
111,1.5046746,0.944,0.5606746
112,1.5839262,0.944,0.6399262
113,1.6165079,0.944,0.6725079
114,1.6028195,0.944,0.6588195
115,1.5977126,0.944,0.6537126
116,1.5671857,0.944,0.6231857
117,1.4809077,0.944,0.5369077
118,1.3635568,0.944,0.4195568
119,1.2494603,0.944,0.3054603
120,1.1811612,0.944,0.2371612
121,1.1264869,0.944,0.1824869
122,1.0987329,0.944,0.1547329
123,1.0816472,0.944,0.1376472
124,1.0843058,0.944,0.1403058
125,1.1092719,0.944,0.1652719
126,1.147068,0.944,0.203068
127,1.1763769,0.944,0.2323769
128,1.1577988,0.944,0.2137988
129,1.1726978,0.944,0.2286978
130,1.1986721,0.944,0.2546721
131,1.2403488,0.944,0.2963488
132,1.2912889,0.944,0.3472889
133,1.3433162,0.944,0.3993162
134,1.4068658,0.944,0.4628658
135,1.5046746,0.944,0.5606746
136,1.5839262,0.944,0.6399262
137,1.6165079,0.944,0.6725079
138,1.6028195,0.944,0.6588195
139,1.5977126,0.944,0.6537126
140,1.5671857,0.944,0.6231857
141,1.4809077,0.944,0.5369077
142,1.3635568,0.944,0.4195568
143,1.2494603,0.944,0.3054603
144,1.1811612,0.944,0.2371612
145,1.1264869,0.944,0.1824869
146,1.0987329,0.944,0.1547329
147,1.0816472,0.944,0.1376472
148,1.0843058,0.944,0.1403058
149,1.1092719,0.944,0.1652719
150,1.147068,0.944,0.203068
151,1.1763769,0.944,0.2323769
152,1.1577988,0.944,0.2137988
153,1.1726978,0.944,0.2286978
154,1.1986721,0.944,0.2546721
155,1.2403488,0.944,0.2963488
156,1.2912889,0.944,0.3472889
157,1.3433162,0.944,0.3993162
158,1.4068658,0.944,0.4628658
159,1.5046746,0.944,0.5606746
160,1.5839262,0.944,0.6399262
161,1.6165079,0.944,0.6725079
162,1.6028195,0.944,0.6588195
163,1.5977126,0.944,0.6537126
164,1.5671857,0.944,0.6231857
165,1.4809077,0.944,0.5369077
166,1.3635568,0.944,0.4195568
167,1.2494603,0.944,0.3054603
168,1.1811612,0.944,0.2371612
169,1.1264869,0.944,0.1824869
170,1.0987329,0.944,0.1547329
171,1.0816472,0.944,0.1376472
172,1.0843058,0.944,0.1403058
173,1.1092719,0.944,0.1652719
174,1.147068,0.944,0.203068
175,1.1763769,0.944,0.2323769
176,1.1577988,0.944,0.2137988
177,1.1726978,0.944,0.2286978
178,1.1986721,0.944,0.2546721
179,1.2403488,0.944,0.2963488
180,1.2912889,0.944,0.3472889
181,1.3433162,0.944,0.3993162
182,1.4068658,0.944,0.4628658
183,1.5046746,0.944,0.5606746
184,1.5839262,0.944,0.6399262
185,1.6165079,0.944,0.6725079
186,1.6028195,0.944,0.6588195
187,1.5977126,0.944,0.6537126
188,1.5671857,0.944,0.6231857
189,1.4809077,0.944,0.5369077
190,1.3635568,0.944,0.4195568
191,1.2494603,0.944,0.3054603
192,1.1811612,0.944,0.2371612
193,1.1264869,0.944,0.1824869
194,1.0987329,0.944,0.1547329
195,1.0816472,0.944,0.1376472
196,1.0843058,0.944,0.1403058
197,1.1092719,0.944,0.1652719
198,1.147068,0.944,0.203068
199,1.1763769,0.944,0.2323769
200,1.1577988,0.944,0.2137988
201,1.1726978,0.944,0.2286978
202,1.1986721,0.944,0.2546721
203,1.2403488,0.944,0.2963488
